comment,cluster,cluster_name,x,y
RAS,0,Limitation vitesse à 80 km/ h,-7.769762873649597,-0.5422728657722473
Ras,0,Limitation vitesse à 80 km/ h,-4.420815944671631,-1.8191719055175781
"Limitation de vitesse à 80 km/h. Délais d'obtention de carte grise, de carte d'identité rallongé…..",0,Limitation vitesse à 80 km/ h,-9.782558143138885,0.6679350733757019
RAS,0,Limitation vitesse à 80 km/ h,-7.232594609260559,-0.5295357704162598
Oui,0,Limitation vitesse à 80 km/ h,-9.170093327760696,-1.705801248550415
Néant,0,Limitation vitesse à 80 km/ h,-7.816535711288452,2.3824799060821533
RAS,0,Limitation vitesse à 80 km/ h,-7.22828471660614,-0.5345606803894043
La limitation de vitesse à 80 km/h,0,Limitation vitesse à 80 km/ h,-9.796374678611755,0.5531597137451172
Les limitations de vitesse qui changent 5 fois au kilomètre. Cette stupide limitation à 80 km/h alors qu'on soutient les faiseurs d'alcool. Alcool qui tue beaucoup plus.   Démagogie !!,0,Limitation vitesse à 80 km/ h,-9.75254338979721,0.38069114089012146
ras,0,Limitation vitesse à 80 km/ h,-7.300484776496887,-0.5722057223320007
Ras,0,Limitation vitesse à 80 km/ h,-5.88436484336853,-4.677805423736572
"le 80 km/h sur les routes qui est une vraie galère, on passe plus de temps à surveiller les panneaux qu'à regarder devant soi",0,Limitation vitesse à 80 km/ h,-9.96061897277832,0.04150799661874771
"permis de construire, contrôle technique des voitures, vaccination obligatoire de 11 maladies, 80 km/h",0,Limitation vitesse à 80 km/ h,-9.772812366485596,-0.40094640851020813
80 km/h,0,Limitation vitesse à 80 km/ h,-10.013463377952576,-0.5458852052688599
limitation de vitesse à 80 km/h,0,Limitation vitesse à 80 km/ h,-9.79754650592804,0.5652990341186523
La limitation de vitesse à 80 kms.,0,Limitation vitesse à 80 km/ h,-10.245712637901306,0.47709816694259644
LES 80 A L'HEURE. J'ai que ma voiture de 1975.... avec une boite 4... Je passe la 2 a 80.,0,Limitation vitesse à 80 km/ h,-10.322197914123535,-0.21260994672775269
Néant,0,Limitation vitesse à 80 km/ h,-8.047839879989624,2.3287012577056885
"limitations de vitesse ( certaines), controle technique automobile",0,Limitation vitesse à 80 km/ h,-9.297140389680862,-0.236496239900589
"Les 80 kmh imposé par le gouvernement,",0,Limitation vitesse à 80 km/ h,-9.621606349945068,0.9148338437080383
Néant.,0,Limitation vitesse à 80 km/ h,-7.781962871551514,2.170832633972168
oui,0,Limitation vitesse à 80 km/ h,-9.029250210151076,-1.8749853372573853
80 km/h puisque d'autres moyens de prévention existent,0,Limitation vitesse à 80 km/ h,-9.949146091938019,-0.3734971880912781
RAS,0,Limitation vitesse à 80 km/ h,-7.453057885169983,-0.7166674137115479
ras,0,Limitation vitesse à 80 km/ h,-7.557533025741577,0.016715580597519875
RAS,0,Limitation vitesse à 80 km/ h,-7.249014496803284,-0.5227375030517578
"La limitation de vitesse excessive,",0,Limitation vitesse à 80 km/ h,-9.475335717201233,0.40337929129600525
NEANT,0,Limitation vitesse à 80 km/ h,-8.020627319812775,2.119259834289551
la limitation à 80km/h,0,Limitation vitesse à 80 km/ h,-9.168957620859146,0.5630990862846375
RAS,0,Limitation vitesse à 80 km/ h,-7.764709711074829,-0.5391365885734558
RAS,0,Limitation vitesse à 80 km/ h,-7.368614077568054,-0.6578606367111206
Les 80 kms/h.,0,Limitation vitesse à 80 km/ h,-10.328762412071228,0.3042318522930145
80 Km sur les nationales !!!!,0,Limitation vitesse à 80 km/ h,-10.13839077949524,0.008505482226610184
Permis a point  Consulter le solde  80 km/ heure,0,Limitation vitesse à 80 km/ h,-10.263735890388489,-0.36237210035324097
- La limitation de vitesse à 80 km/h,0,Limitation vitesse à 80 km/ h,-9.796375513076782,0.5531704425811768
Limitation sur les routes à 80km,0,Limitation vitesse à 80 km/ h,-9.226258590817451,0.7181147933006287
Néant,0,Limitation vitesse à 80 km/ h,-7.889819145202637,2.0822269916534424
OUI,0,Limitation vitesse à 80 km/ h,-8.958841320127249,-1.5565482378005981
"La loi sur la vitesse à 80 km/h me semble ne servir à rien, a part augmenter les revenus des radars",0,Limitation vitesse à 80 km/ h,-9.745597958564758,-0.09515725076198578
- Limitation de vitesse à 80 km/h dogmatique et non acceptée. - Contrôle technique des véhicules abusif qui n'a plus rien à voir avec la sécurité.,0,Limitation vitesse à 80 km/ h,-9.726676404476166,0.4834345281124115
80 a l heure sur les routes.....!!!!!!!!,0,Limitation vitesse à 80 km/ h,-10.129785537719727,0.17816531658172607
Le 80 km/h pas toujours adapté . Les 6 points enlevés en cas d'obstruction à un piéton ( autant que de rouler alcoolisé !!).,0,Limitation vitesse à 80 km/ h,-10.077380299568176,-0.2754637598991394
RAS,0,Limitation vitesse à 80 km/ h,-7.262138485908508,-0.5090410113334656
ras,0,Limitation vitesse à 80 km/ h,-7.278410792350769,-0.4360905587673187
"1) Régles sur le logement: Normes à respecter (alerte incendie, rénovation des ascenseurs, suppression des chaudières au fuel, diagnostics à fournir en cas de vente, règles de construction....) 2) Limitation de vitesse à 80 km/h",0,Limitation vitesse à 80 km/ h,-9.67881178855896,0.34060221910476685
neant,0,Limitation vitesse à 80 km/ h,-7.927917122840881,2.3836681842803955
RAS,0,Limitation vitesse à 80 km/ h,-7.300230503082275,-0.15250633656978607
Ne pas dépasser le 80 km/h sur certaines routes,0,Limitation vitesse à 80 km/ h,-10.038166403770447,0.09507161378860474
"Limitations de vitesse contradictoires sur des tronçons de route rapprochés, à titre d'exemple",0,Limitation vitesse à 80 km/ h,-9.251392275094986,-0.0867517963051796
"réduction arbitraire de la vitesse sur les routes secondaires à 80 km/heure sans aucun discernement, et sans aucune tolérance dès son application.",0,Limitation vitesse à 80 km/ h,-9.89584332704544,0.16562627255916595
Ras,0,Limitation vitesse à 80 km/ h,-7.313464999198914,-0.500941276550293
oui,0,Limitation vitesse à 80 km/ h,-9.122613355517387,-1.660373330116272
RAS,0,Limitation vitesse à 80 km/ h,-7.263085961341858,-0.3357333242893219
Limitation de vitesse à 80km/h.,0,Limitation vitesse à 80 km/ h,-9.251104831695557,0.5127425789833069
ras,0,Limitation vitesse à 80 km/ h,-7.417730927467346,-0.0797397643327713
"80 km sur les routes, c'est un non sens total + les limitations qui ne ressemblent à rien sur certains tronçons !",0,Limitation vitesse à 80 km/ h,-10.001814723014832,0.08518648147583008
La limitation de vitesse,0,Limitation vitesse à 80 km/ h,-9.46622759103775,0.41884806752204895
RAS.,0,Limitation vitesse à 80 km/ h,-7.70043671131134,-0.5339336395263672
80 KM/H,0,Limitation vitesse à 80 km/ h,-10.013477683067322,-0.545833170413971
RAS,0,Limitation vitesse à 80 km/ h,-7.288225054740906,-0.38225436210632324
ras,0,Limitation vitesse à 80 km/ h,-7.236518025398254,-0.5290796756744385
Neant,0,Limitation vitesse à 80 km/ h,-8.020978927612305,2.210317611694336
"Limitation à 80Km/h. lors de déplacement le passage continuel 80, 90, 80, 90, au bout d'un moment on ne sait plus ou l'on en est. pour être sûr de rouler à 80 certains conducteurs roulent à 70 d'ou des dépassements dangereux. baisse de l'attention, distraction en augmentation du fait de l'ennui.",0,Limitation vitesse à 80 km/ h,-9.646243631839752,-0.029177922755479813
Oui ! La DDT.,0,Limitation vitesse à 80 km/ h,-9.161778882145882,-1.4142062664031982
Règle des 80 km/h. Absurde sur la majorité des routes concernées. Sur les axes les plus dangereux OK.,0,Limitation vitesse à 80 km/ h,-9.99487417936325,0.08104243129491806
