comment,cluster_name,cluster_size,cluster_prop,init_x,init_y,dim_red_x,dim_red_y,x,y
demande de permis de construire pour agrandir un carport,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.5979392333578026,2.151068742376477,-37.268425,30.585669,-10.137133598327637,-6.593961417675018
une demande de permis de construire!,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.4849676729388134,0.3633256037159335,-36.54575,30.967815,-10.136260628700256,-6.6443124413490295
Demande de permis de construire ou de travaux,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.2679620025874654,-2.738883947922201,-34.883797,26.420898,-9.276030719280243,-7.31303346157074
demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.109784681375226,1.6480062799788275,-36.726246,31.102358,-10.191482424736023,-6.643468618392944
demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.86381485420153,0.009402052628516218,-36.726246,31.102358,-10.19149398803711,-6.64344996213913
Demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.4470844924023886,2.3252686185708047,-36.725334,31.102333,-10.19149398803711,-6.64344996213913
demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.27975020942059015,-0.8454962414019584,-36.724915,31.102346,-10.191506028175354,-6.643457591533661
Demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.03943924316829374,-0.19990744514796252,-36.72491,31.102413,-10.1914644241333,-6.643450379371643
Demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-2.2871654223048097,-1.041160251920287,-36.726246,31.102358,-10.1914644241333,-6.643450379371643
Demande de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.7806887957694726,1.4084286823425571,-36.725338,31.10234,-10.191464900970459,-6.643450379371643
Demande de carte grise et de permis de conduire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.829070338612339,0.5525617376048096,-50.69063,5.244938,-10.396625757217407,-5.728272169828415
Un permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.3821711314486369,0.9257414514875631,-34.74153,35.65687,-9.930109202861786,-7.200944900512695
Un permis de construire.,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.3105510005547314,-1.0122081799172717,-34.741352,35.65681,-9.930120170116425,-7.200889825820923
dossier de permis de construire;,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.1246945457899913,0.6102783503537552,-35.12333,38.21745,-10.136648535728455,-6.937119364738464
Dossier de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.1118162038272517,-2.3881928997751567,-35.12328,38.21754,-10.136648535728455,-6.937119364738464
dossier de permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.5564094422084379,0.23585366800075053,-35.12333,38.21745,-10.136654019355774,-6.937114894390106
Demande de carte grise Demande de permis de conduire internationnal,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-2.864713223687306,0.33815800442391203,-50.607414,5.2763653,-10.40123999118805,-5.738603919744492
Permis de construire - carte grise cyclo - passeport,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.5477702411330568,-0.6993128806487832,-55.430935,-13.570061,-9.67858898639679,-4.929511308670044
Depôt de Permis de construire et de Demande de Travaux,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.6472172658549944,-1.6582334199965847,-40.33432,36.593777,-9.679672360420227,-7.712970733642578
Rédaction d'un dossier de permis de construire pour une extension de 40m²!,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.04750711855380243,0.4263777646010765,-36.906715,40.380417,-9.98704308271408,-6.9635730385780334
"Permis de construire, demande de passeport,",demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.3469236405308865,-0.13365440981661114,-37.279694,31.240429,-10.228445410728455,-6.596145272254944
Permis de construire ou de travaux,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,2.1374167375457556,0.18801716515310915,-35.07244,26.061876,-9.284777790307999,-7.362428903579712
permis de construire ou de travaux,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.162831087016623,-0.21532421708460933,-35.07248,26.06191,-9.284777909517288,-7.362426161766052
Permis de construire et permis de clôturer,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.3099836702280088,0.1921415775633858,-33.065804,37.34186,-10.491807699203491,-6.945117771625519
pb de permis de construire en 1975,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-0.40657880579510774,0.9857792633595498,-26.633518,22.496727,-9.523505508899689,-6.640876531600952
Déclaration de travaux (permis de construire),demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.6187338023043019,-0.4602156095996515,-37.28455,25.405195,-9.155204623937607,-7.497518181800842
"permis de construire,",demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.6584803467675535,0.15229773590652834,-32.85114,33.875786,-10.091905117034912,-7.041235327720642
Permis de construire.,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.6067823243601806,0.7511519704202427,-29.262672,35.279907,-10.241142868995667,-7.27269434928894
Permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,-1.0068720990217035,0.27827083097834526,-29.154968,36.227734,-10.538869261741638,-7.168769836425781
permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,0.5603956627825514,-0.668136856462416,-30.90914,36.308395,-10.28389585018158,-7.26067590713501
permis de construire,demande de permis de construire pour agrandir un carport,2102,0.23665841026795767,1.5460214206093326,-0.30883671660427575,-30.517693,35.154716,-10.184224843978882,-7.051862359046936
